000, 1
001, 1
002, 1
003, 1
004, 1
005, 1
006, 1
007, 1
008, 1
009, 1
010, 1
011, 1
012, 1
013, 1
014, 1
015, 1
016, 1
017, 1
018, 1
019, 1
020, 1
021, 1
022, 1
023, 1
024, 1
025, 1
026, 1
027, 1
028, 1
029, 1
030, 1
031, 1
032, 1
033, 1
034, 1
035, 1
036, 1
037, 1
038, 1
039, 1
040, 1
041, 2
042, 2
043, 2
044, 2
045, 2
046, 2
047, 2
048, 2
049, 2
050, 2
051, 2
052, 2
053, 2
054, 2
055, 2
056, 2
057, 2
058, 2
059, 2
060, 2
061, 2
062, 2
063, 2
064, 2
065, 2
066, 2
067, 2
068, 2
069, 2
070, 2
071, 2
072, 2
073, 2
074, 2
075, 2
076, 2
077, 2
078, 2
079, 2
080, 2
081, 5
082, 5
083, 5
084, 5
085, 5
086, 5
087, 5
088, 5
089, 5
090, 5
091, 5
092, 5
093, 5
094, 5
095, 5
096, 5
097, 5
098, 5
099, 5
100, 5
101, 4
102, 4
103, 4
104, 4
105, 4
106, 4
107, 4
108, 4
109, 4
110, 4
111, 4
112, 4
113, 4
114, 4
115, 4
116, 4
117, 4
118, 4
119, 4
120, 4
121, 3
122, 3
123, 3
124, 3
125, 3
126, 3
127, 3
128, 3
129, 3
130, 3
131, 3
132, 3
133, 3
134, 3
135, 3
136, 3
137, 3
138, 3
139, 3
140, 3
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 0
148, 0
149, 0
150, 0
151, 0
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 0
159, 0
